team_name,start_time,end_time,prize_category,sponsor_name,location
Test211,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,1.2
Test221,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,2.1
Test221,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,2.1
Test221,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,2.1
Test231,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,2.2
Test231,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,2.2
Test231,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,2.2
Test241,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,2.3
Test241,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,2.3
Test241,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,2.3
Test251,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,2.4
Test251,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Active-Wellness/Health Hack - Herbal Apothecary,Technica,2.4
Test301,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best AI Powered Solution,Bloomberg Industry Group,2.5
Test301,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,2.5
Test301,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,2.5
Test311,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,2.6
Test311,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,2.6
Test321,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,2.7
Test321,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,2.7
Test321,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,2.7
Test331,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,3.1
Test331,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,3.1
Test331,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,3.1
Test341,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,3.2
Test341,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,3.2
Test341,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,3.2
Test351,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,3.3
Test351,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Active-Wellness/Health Hack - Herbal Apothecary,Technica,3.3
Test2011,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best AI Powered Solution,Bloomberg Industry Group,3.4
Test2011,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,3.4
Test2011,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,3.4
Test2111,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,3.5
Test2111,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,3.5
Test2211,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,3.6
Test2211,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,3.6
Test2211,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,3.6
Test2311,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,3.7
Test2311,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,3.7
Test2311,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,3.7
Test2411,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,3.8
Test2411,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,3.8
Test2411,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,3.8
Test2511,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,4.1
Test2511,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Active-Wellness/Health Hack - Herbal Apothecary,Technica,4.1
Test3011,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best AI Powered Solution,Bloomberg Industry Group,4.2
Test3011,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,4.2
Test3011,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,4.2
Test3111,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,4.3
Test3111,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,4.3
Test3211,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,4.4
Test3211,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,4.4
Test3211,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,4.4
Test3311,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,4.5
Test3311,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,4.5
Test3311,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,4.5
Test3411,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,4.6
Test3411,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,4.6
Test3411,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,4.6
Test3511,Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,4.7
Test3511,Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:45:00 GMT-0400 (Eastern Daylight Time),Best Active-Wellness/Health Hack - Herbal Apothecary,Technica,4.7
Test2012,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best AI Powered Solution,Bloomberg Industry Group,4.8
Test2012,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,4.8
Test2012,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,4.8
Test2112,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,5.1
Test2112,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,5.1
Test2212,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,5.2
Test2212,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,5.2
Test2212,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,5.2
Test2312,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,5.3
Test2312,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,5.3
Test2312,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,5.3
Test2412,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,5.4
Test2412,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,5.4
Test2412,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,5.4
Test2512,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,5.5
Test2512,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Active-Wellness/Health Hack - Herbal Apothecary,Technica,5.5
Test3012,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best AI Powered Solution,Bloomberg Industry Group,5.6
Test3012,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,5.6
Test3012,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,5.6
Test3112,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,5.7
Test3112,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,5.7
Test3212,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,6.1
Test3212,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,6.1
Test3212,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,6.1
Test3312,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,6.2
Test3312,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,6.2
Test3312,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,6.2
Test3412,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,6.3
Test3412,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,6.3
Test3412,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,6.3
Test3512,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,6.4
Test3512,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Active-Wellness/Health Hack - Herbal Apothecary,Technica,6.4
Test2013,Sun Oct 22 2023 12:30:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Best Hack Promoting Education or Public Health,Bloomberg,6.5
Test2013,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,6.5
Test2013,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,6.5
Test2113,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,6.6
Test2113,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,6.6
Test2213,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,6.7
Test2213,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,6.7
Test2213,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,6.7
Test2313,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,6.8
Test2313,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,6.8
Test2313,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,6.8
Test2413,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,6.9
Test2413,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,6.9
Test2413,Sun Oct 22 2023 12:50:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,6.9
Test2513,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,6.10
Test2513,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Active-Wellness/Health Hack - Herbal Apothecary,Technica,6.10
Test3013,Sun Oct 22 2023 12:35:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:40:00 GMT-0400 (Eastern Daylight Time),Best Hack Promoting Education or Public Health,Bloomberg,7.1
Test3013,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,7.1
Test3013,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,7.1
Test3113,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,7.2
Test3113,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,7.2
Test3213,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,7.3
Test3213,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,7.3
Test3213,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Gamification Hack - Create Your Own Reality,Technica,7.3
Test3313,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Accessibility Solution,Technica,8.1
Test3313,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Startup Track Hack,Technica,8.1
Test3313,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Research Track Hack,Technica,8.1
Test3413,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best UI/UX Hack,Technica,8.2
Test3413,Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (College),Technica,8.2
Test3413,Sun Oct 22 2023 12:55:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:00:00 GMT-0400 (Eastern Daylight Time),Best Beginner Hack (Middle & High School),Technica,8.2
Test3513,Sun Oct 22 2023 13:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 13:10:00 GMT-0400 (Eastern Daylight Time),Best Social Good Hack,Technica,8.3
